,right_borders,probs
202,0.040599998,2.4104676e-05
203,0.040799998,0.0013282397
204,0.040999997,0.0054884627
205,0.0412,0.008776537
206,0.0414,0.00014930574
207,0.0416,0.011691553
208,0.0418,0.011787679
209,0.042,0.005808164
210,0.0422,5.1188497e-05
211,0.0424,9.266362e-05
212,0.0426,0.00013489614
213,0.042799998,0.00023079649
214,0.042999998,6.721261e-06
215,0.043199997,1.9632625e-06
216,0.043399997,1.9712718e-06
217,0.0436,2.0843665e-06
218,0.0438,2.078939e-06
219,0.044,2.118251e-06
220,0.0442,2.17124e-06
221,0.0444,2.2790953e-06
222,0.0446,2.327644e-06
223,0.0448,2.4262972e-06
224,0.044999998,2.5567947e-06
225,0.045199998,2.728144e-06
226,0.045399997,2.879673e-06
227,0.045599997,3.0925598e-06
228,0.0458,3.3784793e-06
229,0.046,3.6716615e-06
230,0.0462,4.083448e-06
231,0.0464,4.8318348e-06
232,0.0466,5.9961585e-06
233,0.0468,7.5669554e-06
234,0.047,1.0567857e-05
235,0.047199998,1.4975086e-05
236,0.047399998,2.2710447e-05
237,0.047599997,3.5462344e-05
238,0.047799997,8.587185e-05
239,0.048,0.00059360306
240,0.0482,0.0017169039
241,0.0484,0.0005702022
242,0.0486,0.0006939377
243,0.0488,0.0011861468
244,0.049,0.0019967325
245,0.0492,0.0027642266
246,0.049399998,0.00440322
247,0.049599998,0.0066097793
248,0.049799997,2.3873508e-06
249,0.049999997,1.3408719e-06
250,0.0502,1.3368958e-06
251,0.0504,1.3530121e-06
252,0.0506,1.3578245e-06
253,0.0508,1.4735306e-06
254,0.051,1.4191974e-06
255,0.0512,1.4373594e-06
256,0.0514,1.462966e-06
257,0.051599998,1.5141056e-06
258,0.051799998,1.51695e-06
259,0.051999997,1.5332761e-06
260,0.052199997,1.1542504e-06
261,0.0524,1.1738895e-06
262,0.0526,1.2350783e-06
263,0.0528,1.2065045e-06
264,0.053,1.2247133e-06
265,0.0532,1.2421573e-06
266,0.0534,1.2861375e-06
267,0.0536,1.2699455e-06
268,0.053799998,1.2882024e-06
269,0.053999998,1.3102355e-06
270,0.054199997,1.3170543e-06
271,0.054399997,1.4071032e-06
272,0.0546,1.365447e-06
273,0.0548,1.3907829e-06
274,0.055,1.4169821e-06
275,0.0552,1.460688e-06
276,0.0554,1.5031252e-06
277,0.0556,1.5132438e-06
278,0.0558,1.5498106e-06
279,0.055999998,1.5272242e-06
280,0.056199998,1.7996161e-06
281,0.056399997,1.6892777e-06
282,0.056599997,1.7534026e-06
283,0.0568,1.814165e-06
284,0.057,1.4201138e-06
285,0.0572,1.269221e-05
286,0.0574,0.00045588537
287,0.0576,0.0013593521
288,0.0578,0.00065155356
289,0.058,0.00035654978
290,0.058199998,0.00018373407
291,0.058399998,4.035099e-05
292,0.058599997,1.1413226e-05
293,0.058799997,8.135972e-06
294,0.059,6.205885e-06
295,0.0592,5.954457e-06
296,0.0594,3.6179003e-06
297,0.0596,3.4740817e-06
298,0.0598,3.4158795e-06
299,0.06,3.2980495e-06
300,0.0602,6.8906223e-07
301,0.060399998,6.7081936e-07
302,0.060599998,6.657514e-07
303,0.060799997,6.5884154e-07
304,0.060999997,6.540368e-07
305,0.061199997,6.4656933e-07
306,0.0614,6.2542574e-07
307,0.0616,6.230836e-07
308,0.0618,6.167966e-07
309,0.062,5.996893e-07
310,0.0622,5.942025e-07
311,0.0624,5.856808e-07
312,0.0626,5.8157264e-07
313,0.0628,5.773837e-07
314,0.063,5.5307123e-07
315,0.0632,5.5316355e-07
316,0.0634,5.535097e-07
317,0.063599996,5.442604e-07
318,0.0638,5.400924e-07
319,0.063999996,5.1600256e-07
320,0.0642,5.168713e-07
321,0.064399995,5.285123e-07
322,0.0646,5.148823e-07
323,0.0648,5.0859165e-07
324,0.065,4.9159985e-07
325,0.0652,4.930257e-07
326,0.0654,4.980245e-07
327,0.0656,4.9771546e-07
328,0.065799996,4.8616454e-07
329,0.066,4.7405456e-07
330,0.066199996,4.7582327e-07
331,0.0664,4.3760292e-07
332,0.066599995,4.7464423e-06
333,0.0668,0.000110187626
334,0.067,7.778021e-05
335,0.0672,0.0031120197
336,0.0674,0.01997785
337,0.0676,0.00017342594
338,0.0678,0.00032051644
339,0.067999996,0.0019549981
340,0.0682,0.0021978517
341,0.068399996,0.0042150365
342,0.0686,0.005581362
343,0.068799995,0.008652385
344,0.069,6.570139e-05
345,0.0692,1.5080696e-05
346,0.0694,1.3100086e-05
347,0.0696,1.0885038e-05
348,0.0698,8.880089e-06
349,0.07,1.2352062e-05
350,0.070199996,8.623931e-06
351,0.0704,7.3648584e-06
352,0.070599996,7.753573e-06
353,0.0708,6.742292e-06
354,0.070999995,5.2881405e-06
355,0.0712,5.3309022e-06
356,0.0714,3.9119723e-06
357,0.0716,3.255863e-06
358,0.0718,2.9773576e-06
359,0.072,2.6918742e-06
360,0.0722,2.2480085e-06
361,0.072399996,2.2748327e-06
362,0.0726,1.9315462e-06
363,0.072799996,1.7331962e-06
364,0.073,1.599948e-06
365,0.073199995,1.5151817e-06
366,0.0734,1.5199678e-06
367,0.0736,1.5128037e-06
368,0.0738,1.4442722e-06
369,0.074,1.3207018e-06
370,0.0742,1.2330775e-06
371,0.0744,1.1863402e-06
372,0.074599996,1.1241324e-06
373,0.0748,1.0578005e-06
374,0.074999996,1.009678e-06
375,0.0752,9.591932e-07
